Species name,Domain,Phylum,Taxonomic source,Is Deep-sea,Deep-sea source,Is marine sequence
Vibrio metoecus,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio metschnikovii cip 69.14,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio mimicus,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio mimicus vm603,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio mytili,Bacteria,Proteobacteria,WoRMS,0.0,,1
Vibrio natriegens,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio navarrensis,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio neocaledonicus,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio nereis,Bacteria,Proteobacteria,WoRMS,0.0,,1
Vibrio nigripulchritudo,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio nigripulchritudo ftn2,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio nigripulchritudo sfn135,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio orientalis cip 102891 = atcc 33934,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio ouci,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio pacinii,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio paracholerae,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio parahaemolyticus,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio parahaemolyticus phage vp58.5 gp40,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Vibrio parahaemolyticus rimd 2210633,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Vibrio phage vp882,Viruses,Uroviricota,NCBI,0.0,0,1
Vibrio plantisponsor,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio plasmid p0908,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Vibrio ponticus,Bacteria,Proteobacteria,WoRMS,0.0,,1
Vibrio proteolyticus,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio rotiferianus,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio ruber,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio ruber dsm 16370,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio scophthalmi,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio scophthalmi lmg 19158,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio shilonii ak1,Bacteria,Proteobacteria,NCBI,0.0,0,1
Vibrio sinaloensis dsm 21326,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sinensis,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp.,Bacteria,Proteobacteria,NCBI,0.0,0,1
Vibrio sp. 10n.261.52.a1,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. 10n.261.55.a7,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. and4,Bacteria,Proteobacteria,NCBI,0.0,0,1
Vibrio sp. ax-4,Bacteria,Proteobacteria,NCBI,0.0,0,1
Vibrio sp. b183,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. b1ass3,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. b1fig11,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. b1z05,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. bcb494,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. dhg,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. ejy3,Bacteria,Proteobacteria,NCBI,0.0,0,1
Vibrio sp. er1a,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. f12,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. henc-03,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. jcm 18905,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. jcm 19052,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. jt-faj-16,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. thaf191d,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. v31_p5a7t61,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio sp. v39_p1s14pm300,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio splendidus,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio splendidus 12b01,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Vibrio tapetis subsp. tapetis,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio tasmaniensis,Bacteria,Proteobacteria,WoRMS,0.0,,1
Vibrio tasmaniensis 1f-187,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio tubiashii,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio tubiashii atcc 19109,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Vibrio viridaestus,Bacteria,Pseudomonadota,NCBI,0.0,,1
Vibrio vulnificus,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Vibrio vulnificus cmcp6,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Vibrio vulnificus yj016,Bacteria,Pseudomonadota,Wikipedia,0.0,0,1
Viral hemorrhagic septicemia virus,Viruses,Negarnaviricota,NCBI,0.0,0,1
Watasenia scintillans,Eukaryota,Mollusca,WoRMS,1.0,WoRDSS,1
White spot syndrome virus,Viruses,Incertae sedis,Wikipedia,0.0,0,1
Winogradskyella eximia,Bacteria,Bacteroidetes,WoRMS,0.0,,1
Winogradskyella sediminis,Bacteria,Bacteroidota,NCBI,0.0,,1
Winogradskyella sp. kyw1333,Bacteria,Bacteroidota,NCBI,0.0,,1
Woodsholea maritima,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Xenostrobus securis,Eukaryota,Mollusca,WoRMS,0.0,0,1
Xiphias gladius,Eukaryota,Chordata,WoRMS,1.0,WoRDSS,1
Yellowtail ascites virus,Viruses,Incertae sedis,WoRMS,0.0,0,1
Yersinia ruckeri,Bacteria,Proteobacteria,WoRMS,0.0,0,1
Zoanthus sp.,Eukaryota,Cnidaria,NCBI,0.0,0,1
Zoarces americanus,Eukaryota,Chordata,WoRMS,1.0,WoRDSS,1
Zoarces elongatus,Eukaryota,Chordata,WoRMS,0.0,0,1
Zoarces viviparus,Eukaryota,Chordata,WoRMS,0.0,0,1
Zobellia galactanivorans,Bacteria,Bacteroidetes,WoRMS,0.0,0,1
Zobellia laminariae,Bacteria,Bacteroidetes,WoRMS,0.0,,1
Zostera marina,Eukaryota,Streptophyta,NCBI,0.0,0,1
Zunongwangia profunda,Bacteria,Bacteroidetes,WoRMS,0.0,,1
